,,0,1
LBGI,child#001,0.0758137716320221,0.04157246207295047
LBGI,child#002,0.0,5.383863395179129
LBGI,child#003,0.0,0.0
LBGI,child#004,0.0,0.0
LBGI,child#005,0.0,0.0
LBGI,child#006,0.0,0.0
LBGI,child#007,0.0,0.0
LBGI,child#008,0.0,0.0
LBGI,child#009,0.0,0.0
LBGI,child#010,0.0,0.0
HBGI,child#001,0.0,0.0
HBGI,child#002,0.17629850474591585,0.0
HBGI,child#003,0.6717267310087428,1.590845323775484
HBGI,child#004,3.036977097213617,3.9159107635756336
HBGI,child#005,2.4662831209330056,10.245066802644127
HBGI,child#006,1.4431988900812953,2.9618303150119356
HBGI,child#007,1.7314945529117984,6.709954628351582
HBGI,child#008,2.7191816622213496,0.8815942439878088
HBGI,child#009,2.826890975733978,12.954222619187728
HBGI,child#010,2.3785270856775,9.472246270255866
Risk Index,child#001,0.0758137716320221,0.04157246207295047
Risk Index,child#002,0.17629850474591585,5.383863395179129
Risk Index,child#003,0.6717267310087428,1.590845323775484
Risk Index,child#004,3.036977097213617,3.9159107635756336
Risk Index,child#005,2.4662831209330056,10.245066802644127
Risk Index,child#006,1.4431988900812953,2.9618303150119356
Risk Index,child#007,1.7314945529117984,6.709954628351582
Risk Index,child#008,2.7191816622213496,0.8815942439878088
Risk Index,child#009,2.826890975733978,12.954222619187728
Risk Index,child#010,2.3785270856775,9.472246270255866
